,Record Type,VIN,Registration Class,City,State,Zip,County,Model Year,Make,Body Type,Fuel Type,Unladen Weight,Maximum Gross Weight,Passengers,Reg Valid Date,Reg Expiration Date,Color,Scofflaw Indicator,Suspension Indicator,Revocation Indicator
43857,VEH,7SAYGDEE3PA164543,PAS,BELLEROSE,NY,11426,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4356.0,,,09/05/2023,09/04/2025,GY,N,N,N
43858,VEH,7SAYGDEE3PA164381,PAS,ELMHURST,NY,11373,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4356.0,,,08/30/2023,08/29/2025,WH,N,N,N
43860,VEH,7SAYGDEE3PA163716,PAS,BROOKLYN,NY,11201,KINGS,2023.0,TESLA,SUBN,ELECTRIC,4356.0,,,09/02/2023,09/01/2025,WH,N,N,N
43867,VEH,7SAYGDEE3PA159892,PAS,STATEN ISLAND,NY,10314,RICHMOND,2023.0,TESLA,SUBN,ELECTRIC,4356.0,,,08/31/2023,08/30/2025,GY,N,N,N
43869,VEH,7SAYGDEE3PA158533,PAS,NEW YORK,NY,10010,NEW YORK,2023.0,TESLA,SUBN,ELECTRIC,4356.0,,,08/25/2023,08/24/2025,BL,N,N,N
43870,VEH,7SAYGDEE3PA157916,PAS,STATEN ISLAND,NY,10304,RICHMOND,2023.0,TESLA,SUBN,ELECTRIC,4356.0,,,06/04/2024,07/19/2026,GY,N,N,N
43871,VEH,7SAYGDEE3PA157298,PAS,RICHMOND HILL,NY,11418,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,5216.0,,,08/12/2023,08/11/2025,WH,N,N,N
43877,VEH,7SAYGDEE3PA149881,PAS,STATEN ISLAND,NY,10314,RICHMOND,2023.0,TESLA,SUBN,ELECTRIC,5216.0,,,07/27/2023,07/26/2025,RD,N,N,N
43879,VEH,7SAYGDEE3PA149475,PAS,BROOKLYN,NY,11234,KINGS,2023.0,TESLA,SUBN,ELECTRIC,5216.0,,,09/12/2024,10/09/2026,BK,N,N,N
43881,VEH,7SAYGDEE3PA145507,PAS,CORONA,NY,11368,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4364.0,,,07/09/2023,07/31/2025,WH,N,N,N
43885,VEH,7SAYGDEE3PA144602,PAS,WOODHAVEN,NY,11421,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4364.0,,,07/17/2023,07/16/2025,WH,N,N,N
43889,VEH,7SAYGDEE3PA143353,PAS,BRONX,NY,10461,BRONX,2023.0,TESLA,SUBN,ELECTRIC,4364.0,,,07/12/2023,07/11/2025,RD,N,N,N
43890,VEH,7SAYGDEE3PA143045,PAS,STATEN ISLAND,NY,10312,RICHMOND,2023.0,TESLA,SUBN,ELECTRIC,5224.0,,,07/11/2023,07/10/2025,GY,N,N,N
43892,VEH,7SAYGDEE3PA141778,PAS,OAKLAND GARDEN,NY,11364,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4356.0,,,09/25/2023,10/01/2025,WH,N,N,N
43897,VEH,7SAYGDEE3PA141134,PAS,BROOKLYN,NY,11249,KINGS,2023.0,TESLA,SUBN,ELECTRIC,4416.0,,,06/29/2023,06/28/2025,BK,N,N,N
43898,VEH,7SAYGDEE3PA141036,PAS,STATEN ISLAND,NY,10308,RICHMOND,2023.0,TESLA,SUBN,ELECTRIC,4416.0,,,07/24/2023,09/10/2025,WH,N,N,N
43899,VEH,7SAYGDEE3PA140548,PAS,STATEN ISLAND,NY,10306,RICHMOND,2023.0,TESLA,SUBN,ELECTRIC,4416.0,,,06/29/2023,06/28/2025,GY,N,N,N
43901,VEH,7SAYGDEE3PA140405,PAS,WHITESTONE,NY,11357,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4416.0,,,06/30/2023,06/29/2025,WH,N,N,N
43905,VEH,7SAYGDEE3PA139545,PAS,BROOKLYN,NY,11217,KINGS,2023.0,TESLA,SUBN,ELECTRIC,4416.0,,,06/29/2023,06/28/2025,BK,N,N,N
43910,VEH,7SAYGDEE3PA139142,PAS,BAYSIDE,NY,11364,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4416.0,,,06/02/2024,05/30/2026,WH,N,N,N
43911,VEH,7SAYGDEE3PA138797,PAS,STATEN ISLAND,NY,10314,RICHMOND,2023.0,TESLA,SUBN,ELECTRIC,4416.0,,,06/28/2023,06/27/2025,GY,N,N,N
43913,VEH,7SAYGDEE3PA138587,PAS,MIDDLE VILLAGE,NY,11379,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4416.0,,,07/21/2023,02/03/2025,GY,N,N,N
43916,VEH,7SAYGDEE3PA136743,PAS,BROOKLYN,NY,11214,KINGS,2023.0,TESLA,SUBN,ELECTRIC,4356.0,,,06/25/2023,06/24/2025,GY,N,N,N
43919,VEH,7SAYGDEE3PA135625,PAS,BROOKLYN,NY,11234,KINGS,2023.0,TESLA,SUBN,ELECTRIC,4356.0,,,06/23/2023,07/01/2025,BK,N,N,N
43920,VEH,7SAYGDEE3PA135396,PAS,FOREST HILLS,NY,11375,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4416.0,,,05/16/2024,05/15/2026,WH,N,N,N
43922,VEH,7SAYGDEE3PA135186,PAS,FRESH MEADOWS,NY,11365,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4416.0,,,06/26/2023,06/25/2025,WH,N,N,N
43924,VEH,7SAYGDEE3PA130456,PAS,STATEN ISLAND,NY,10308,RICHMOND,2023.0,TESLA,SUBN,ELECTRIC,4356.0,,,06/16/2023,06/15/2025,WH,N,N,N
